"Name";"Category";"Author";"URL"
"Find_times";"carving";"504ensicsLabs";"https://github.com/504ensicsLabs/find_times/archive/master.zip"
"FirefoxDownloadsView";"browser";"nirsoft";"https://www.nirsoft.net/utils/firefoxdownloadsview.zip"
"Flare-wmi";"file_analysis";"fireeye";"https://github.com/fireeye/flare-wmi/archive/master.zip"
"Flare-wmi_release";"file_analysis";"fireeye";"https://api.github.com/repos/fireeye/flare-wmi/releases/latest"
"FlashCookiesView";"browser";"nirsoft";"https://www.nirsoft.net/utils/flashcookiesview.zip"
"ForensicPosters";"documents";"Invoke-IR";"https://github.com/Invoke-IR/ForensicPosters/archive/master.zip"
"ForensicUserInfo";"registry";"woanware";"https://github.com/woanware/ForensicUserInfo/archive/master.zip"
"ForensicUserInfo_release";"registry";"woanware";"https://api.github.com/repos/woanware/wmi-parser/releases/latest"
"Fulleventlogview";"events";"nirsoft";"https://www.nirsoft.net/utils/fulleventlogview.zip"
"Glogg";"events";"bonnefon";"http://glogg.bonnefon.org/files/glogg-latest-x86_64-setup.exe"
"Grub-raiddump";"raid";"msuhanov";"https://github.com/msuhanov/grub-raiddump/archive/master.zip"
"HAM";"malware";"hexacorn";"http://hexacorn.com/download.php?f=ham.exe"
"Hasher";"file_analysis";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/hasher.zip"
"HexEdit";"file_analysis";"mitec";"https://www.mitec.cz/Downloads/HEXEdit.zip"
"Hindsight";"browser";"Obsidian";"https://github.com/obsidianforensics/hindsight/archive/master.zip"
"Hindsight_release";"user_activity";"Obsidian";"https://api.github.com/repos/obsidianforensics/hindsight/releases/latest"
"HTTPNetworkSniffer";"network";"nirsoft";"https://www.nirsoft.net/utils/httpnetworksniffer.zip"
"Hxd";"file_analysis";"mh-nexus";"https://mh-nexus.de/downloads/HxDPortableSetup.zip"
"IECacheView";"browser";"nirsoft";"https://www.nirsoft.net/utils/iecacheview.zip"
"IECookiesView";"browser";"nirsoft";"https://www.nirsoft.net/utils/iecv.zip"
"IEHistoryView";"browser";"nirsoft";"https://www.nirsoft.net/utils/iehv.zip"
"Indx2Csv";"filesystem";"jschicht";"https://github.com/jschicht/Indx2Csv/archive/master.zip"
"IndxCarver";"carving";"jschicht";"https://github.com/jschicht/IndxCarver/archive/master.zip"
"INDXParse";"file_analysis";"ballenthin";"https://github.com/williballenthin/INDXParse/archive/master.zip"
"InstalledPackagesView";"system";"nirsoft";"https://www.nirsoft.net/utils/installedpackagesview.zip"
"iOS_sysdiagnose_forensic_scripts";"mobile";"cheeky4n6monkey";"https://github.com/cheeky4n6monkey/iOS_sysdiagnose_forensic_scripts/archive/master.zip"
"IPNetInfo";"network";"nirsoft";"https://www.nirsoft.net/utils/ipnetinfo.zip"
"Ircollect";"collect";"dkovar";"https://github.com/dkovar/ircollect/archive/master.zip"
"IrCRpull";"collect";"n3l5";"https://github.com/n3l5/irCRpull/archive/master.zip"
"IrFARTpull";"collect";"n3l5";"https://github.com/n3l5/irFARTpull/archive/master.zip"
